name,url,id,craft_type,project_numbers
"""Hey, at Least It Wasn't Your Leg"" Arm Sling by Sweet C",https://www.ravelry.com/patterns/library/hey-at-least-it-wasnt-your-leg-arm-sling,80882,Knitting,5
"""Kitty"" Eye Patch by Christine H. Wilkins",https://www.ravelry.com/patterns/library/kitty-eye-patch-2,118789,Knitting,5
Alternative ML Knitted Knockers by Makoshark,https://www.ravelry.com/patterns/library/alternative-ml-knitted-knockers,951015,Knitting,4
Amon ammeinnlegg by Anne Tvedt,https://www.ravelry.com/patterns/library/amon-ammeinnlegg,807316,Knitting,0
Amputee's Stump Covers by Suzetta Williams,https://www.ravelry.com/patterns/library/amputees-stump-covers,287776,Crochet,12
Ankle Wrap Ice Packs by Rachel Sandler,https://www.ravelry.com/patterns/library/ankle-wrap-ice-packs,328142,Knitting,3
Arm Cast Covers by Sweet Southern Stitches,https://www.ravelry.com/patterns/library/arm-cast-covers,551389,Crochet,"no projects,
in 1 queue

"
Arm Cast Sleeve by Steph Miller,https://www.ravelry.com/patterns/library/arm-cast-sleeve,991713,Knitting,1
Arm Sling by Joan of Dark aka Toni Carr,https://www.ravelry.com/patterns/library/arm-sling,80981,Knitting,12
Bandages for Leprosy Patients by Linda Stocker,https://www.ravelry.com/patterns/library/bandages-for-leprosy-patients,38588,Knitting,79
Boo Boo Buddy by Jessica King,https://www.ravelry.com/patterns/library/boo-boo-buddy,305647,Knitting,no
Boo-boo Buddies by Megan Kreiner,https://www.ravelry.com/patterns/library/boo-boo-buddies,570625,Knitting,3
Boo-boo Buddies by Megan Kreiner,https://www.ravelry.com/patterns/library/boo-boo-buddies-2,579132,Crochet,4
Boo-Boo Bunny Knit Pouch by Marly Bird,https://www.ravelry.com/patterns/library/boo-boo-bunny-knit-pouch,828005,Knitting,1
Boob by Jamin Chenault,https://www.ravelry.com/patterns/library/boob,271934,Crochet,6
BOOBOO Bunny by Malissa M.Bise,https://www.ravelry.com/patterns/library/booboo-bunny,735088,Loom Knitting,0
Breast Cancer Awareness Boobies by Melanie Grobler,https://www.ravelry.com/patterns/library/breast-cancer-awareness-boobies,865422,Crochet,4
Breast Cancer Survivor's False Breast by Jessica Evans,https://www.ravelry.com/patterns/library/breast-cancer-survivors-false-breast,164435,Crochet,30
Breast Forms by Lisa Rode,https://www.ravelry.com/patterns/library/breast-forms,865397,Crochet,no
Breast Prosthetic Round by Scarlett Royal,https://www.ravelry.com/patterns/library/breast-prosthetic-round,1053583,Loom Knitting,no
Breastfeeding Puppet by Alison Dowler,https://www.ravelry.com/patterns/library/breastfeeding-puppet,1303464,Crochet,0
