craft_type,project_numbers
Knitting,5
Knitting,5
Knitting,4
Knitting,"no projects
"
Crochet,12
Knitting,3
Crochet,"no projects,
in 1 queue

"
Knitting,1
Knitting,12
Knitting,79
Knitting,no
Knitting,3
Crochet,4
Knitting,1
Crochet,6
Loom Knitting,"no projects
"
Crochet,4
Crochet,30
Crochet,no
Loom Knitting,no
Crochet,"no projects
"
Knitting,"no projects
"
Crochet,"no projects,
in 1 queue

"
Knitting,23
Crochet,no
Crochet,58
Crochet,3
Crochet,3
Crochet,53
Crochet,6
Knitting,4
Knitting,1
Crochet,1
Crochet,"no projects
"
Crochet,"no projects
"
Crochet,1
Crochet,1
Crochet,1
Crochet,7
Crochet,"no projects
"
Crochet,"5 projects,
in 1 queue

"
Knitting,3
Crochet,15
Crochet,1
Knitting,74
Crochet,"no projects
"
Knitting,2
Knitting,5
Crochet,"1 project
"
Crochet,"1 project,
in 1 queue

"
Knitting,no
Crochet,2
Knitting,"no projects
"
Crochet,3
Knitting,2
Knitting,2
Knitting,5
Crochet,14
Crochet,1
Knitting,4
Knitting,1
Crochet,"2 projects,
in 1 queue

"
Crochet,"no projects
"
Knitting,1
Knitting,6
Knitting,7
Crochet,4
Crochet,2
Crochet,4
Knitting,"no projects
"
Crochet,3
Crochet,28
Crochet,24
Crochet,"no projects,
in 1 queue

"
Knitting,10
Crochet,5
Knitting,1
Crochet,no
Knitting,236
Knitting,8
Knitting,3
Knitting,42
Knitting,2870
Knitting,471
Knitting,69
Knitting,9
Knitting,85
Crochet,39
Knitting,2
Knitting,15
Knitting,15
Knitting,2
Knitting,3
Crochet,201
Crochet,no
Knitting,"1 project,
in 1 queue

"
Crochet,"no projects
"
Knitting,"no projects
"
Loom Knitting,2
Knitting,7
Knitting,"1 project,
in 1 queue

"
Knitting,22
Crochet,"no projects
"
Knitting,17
Crochet,"no projects,
in 1 queue

"
Knitting,2
Knitting,1
Crochet,no
Knitting,5
Crochet,"no projects
"
Knitting,18
Knitting,5
Crochet,"no projects,
in 1 queue

"
Crochet,8
Crochet,1
Knitting,3
Knitting,6
Crochet,no
Crochet,4
Knitting,5
Crochet,"no projects
"
Crochet,no
Knitting,"1 project,
in 1 queue

"
Knitting,no
Knitting,"no projects
"
Crochet,"no projects
"
Crochet,17
Knitting,12
Knitting,8
Knitting,24
Crochet,24
Knitting,3
Knitting,7
Crochet,"2 projects
"
Knitting,1
Knitting,3
Crochet,"no projects
"
Knitting,2
Crochet,"no projects,
in 1 queue

"
Knitting,5
Crochet,2
Crochet,"no projects,
in 1 queue

"
Crochet,"no projects
"
Crochet,133
Crochet,1
Knitting,1
Knitting,3
Knitting,640
Knitting,1
Knitting,6
Knitting,2
Knitting,8
Knitting,2
Crochet,4
Knitting,2
Knitting,4
Knitting,10
Knitting,3
Knitting,7
Knitting,"2 projects
"
Knitting,7
Knitting,7
Knitting,8
Knitting,1
Crochet,9
Crochet,1
Knitting,3
Crochet,9
Knitting,3
Knitting,"no projects
"
